,,,
County,Population,%_Uninsured,Healthy_Care_Costs
,,31,11079
Anderson,57938,30,10784
Andrews,16799,29,9262
Angelina,87441,30,11561
Aransas,24356,30,10358
Archer,8681,27,10881
Armstrong,1949,24,7906
Atascosa,47093,30,10925
Austin,28847,29,8787
Bailey,7114,39,11370
Bandera,20601,28,9300
Bastrop,75825,31,10351
Baylor,3614,28,12568
Bee,32799,28,11893
Bell,326843,24,10026
Bexar,1817610,29,10421
Blanco,10723,30,8445
Borden,637,16,13101
Bosque,17855,32,8855
Bowie,93487,26,10680
Brazoria,330242,27,11179
Brazos,203164,26,9767
Brewster,9286,29,7090
Briscoe,1537,43,10943
Brooks,7237,34,15152
Brown,37749,28,10192
Burleson,17169,31,10259
Burnet,43823,32,9870
Caldwell,39232,31,12860
Calhoun,21806,28,10874
Callahan,13525,28,10462
Cameron,417276,49,11896
Camp,12413,35,11087
Carson,6010,18,9964
Cass,30331,26,10885
Castro,8030,43,11691
Chambers,36812,21,12036
Cherokee,50878,34,11559
Childress,7095,28,9039
Clay,10473,23,10714
Cochran,3016,40,10371
Coke,3210,32,8717
Coleman,8543,33,9606
Collin,854778,19,11642
Collingsworth,3099,38,15638
Colorado,20752,31,10861
Comal,118480,24,10300
Comanche,13623,36,9970
Concho,4043,31,9578
Cooke,38467,30,12331
Coryell,76192,23,9509
Cottle,1452,39,9305
Crane,4773,28,11272
Crockett,3807,32,8894
Crosby,5991,34,11088
Culberson,2277,42,11124
Dallam,7057,39,10814
Dallas,2480331,36,11204
Dawson,13810,33,10370
Deaf Smith,19177,39,9838
Delta,5238,31,10949
Denton,728799,22,12190
DeWitt,20503,26,10356
Dickens,2291,34,12636
Dimmit,10897,31,12191
Donley,3522,33,10549
Duval,11640,29,14590
Eastland,18245,33,11219
Ector,149378,33,10274
Edwards,1884,38,9089
Ellis,155976,27,10921
El Paso,827718,39,9917
Erath,39658,36,9326
Falls,17493,31,10270
Fannin,33659,30,12417
Fayette,24821,28,9837
Fisher,3856,27,9769
Floyd,6230,35,11700
Foard,1277,37,10870
Fort Bend,652365,24,11457
Franklin,10660,29,11637
Freestone,19646,29,10181
Frio,18065,31,10891
Gaines,18921,42,11111
Galveston,306782,25,11519
Garza,6317,30,11688
Gillespie,25357,31,7759
Glasscock,1251,23,9059
Goliad,7465,22,10325
Gonzales,20312,36,9212
Gray,23043,31,10802
Grayson,122353,29,12198
Gregg,123024,30,11397
Grimes,26859,31,11001
Guadalupe,143183,24,10375
Hale,35764,33,10729
Hall,3239,41,9105
Hamilton,8310,33,10540
Hansford,5555,34,10421
Hardeman,4016,31,13300
Hardin,55417,24,10932
Harris,4336853,34,11724
Harrison,66886,28,11069
Hartley,6100,28,10523
Haskell,5875,31,10100
Hays,176026,26,10527
Hemphill,4158,28,8225
Henderson,78675,32,11498
Hidalgo,815996,52,12588
Hill,34823,34,9775
Hockley,23530,29,10706
Hood,52905,26,9955
Hopkins,35565,34,10753
Houston,22911,34,10100
Howard,36147,28,8981
Hudspeth,3318,45,10586
Hunt,87048,30,11510
Hutchinson,21819,28,10570
Irion,1612,24,6856
Jack,8957,30,10665
Jackson,14591,27,12101
Jasper,35649,29,11117
Jeff Davis,2253,32,7461
Jefferson,252358,32,11336
Jim Hogg,5245,36,15328
Jim Wells,41680,29,15967
Johnson,154707,30,12477
Jones,19859,32,9592
Karnes,15081,24,10829
Kaufman,108568,29,11781
Kendall,37766,22,8999
Kenedy,412,24,28232
Kent,807,26,10638
Kerr,49953,31,8804
Kimble,4481,38,8827
King,285,21,
Kinney,3586,29,10363
Kleberg,32101,31,12172
Knox,3767,37,10602
Lamar,49426,30,11481
Lamb,13775,35,9740
Lampasas,20222,30,10905
La Salle,7369,34,11804
Lavaca,19581,27,12083
Lee,16628,29,10147
Leon,16742,32,9893
Liberty,76907,33,13393
Limestone,23326,30,10433
Lipscomb,3485,33,9615
Live Oak,11867,25,10465
Llano,19444,28,9121
Loving,95,22,
Lubbock,289324,26,11725
Lynn,5723,32,11762
McCulloch,8330,33,9435
McLennan,241481,29,9227
McMullen,764,23,6849
Madison,13781,35,10850
Marion,10235,30,10002
Martin,5312,31,9456
Mason,4128,35,9135
Matagorda,36592,33,12274
Maverick,55932,45,11874
Medina,47399,29,10585
Menard,2148,37,8990
Midland,151468,26,9117
Milam,24167,29,11865
Mills,4907,38,10342
Mitchell,9402,27,10642
Montague,19503,31,10325
Montgomery,499137,25,11650
Moore,22141,37,9843
Morris,12834,28,11624
Motley,1196,34,10881
Nacogdoches,65330,32,11090
Navarro,48038,33,10310
Newton,14140,27,11973
Nolan,15037,29,10248
Nueces,352107,29,11476
Ochiltree,10806,35,9997
Oldham,2102,21,9961
Orange,82957,25,11820
Palo Pinto,27889,32,11035
Panola,23870,26,11546
Parker,121418,25,11683
Parmer,9965,39,9973
Pecos,15697,33,9980
Polk,45790,32,9763
Potter,121661,36,10864
Presidio,7201,44,6165
Rains,11065,32,10204
Randall,126474,23,10354
Reagan,3601,33,9016
Real,3350,39,7965
Red River,12470,31,12759
Reeves,13965,33,10814
Refugio,7305,26,10974
Roberts,831,17,8320
Robertson,16486,32,10559
Rockwall,85245,21,11164
Runnels,10309,30,10501
Rusk,53622,30,11829
Sabine,10361,30,11293
San Augustine,8769,30,10522
San Jacinto,26856,32,13312
San Patricio,66137,27,12415
San Saba,6012,34,8788
Schleicher,3206,31,10496
Scurry,17302,29,11021
Shackelford,3375,29,11172
Shelby,25792,36,11467
Sherman,3093,37,10557
Smith,216080,30,10929
Somervell,8658,26,11610
Starr,61963,47,12574
Stephens,9247,34,11154
Sterling,1219,26,8469
Stonewall,1432,30,13883
Sutton,4006,32,9630
Swisher,7763,33,9577
Tarrant,1911541,29,11895
Taylor,134117,28,10069
Terrell,903,31,11238
Terry,12743,35,11419
Throckmorton,1600,37,13911
Titus,32581,38,11796
Tom Green,114954,28,9410
Travis,1120954,25,10200
Trinity,14393,31,11893
Tyler,21464,29,11474
Upshur,39884,27,11636
Upton,3372,31,12389
Uvalde,26926,36,10352
Val Verde,48623,37,9007
Van Zandt,52481,33,10524
Victoria,90028,29,10790
Walker,68817,29,10976
Waller,45213,32,10509
Ward,11244,28,10297
Washington,34147,26,8020
Webb,262495,48,11519
Wharton,41216,32,10590
Wheeler,5751,30,11692
Wichita,132047,28,10624
Wilbarger,13131,30,11284
Willacy,21921,38,12215
Williamson,471014,20,11201
Wilson,45418,23,9737
Winkler,7606,30,10803
Wise,60939,29,12185
Wood,42306,30,11321
Yoakum,8184,32,10972
Young,18341,31,12149
Zapata,14390,43,11651
Zavala,12156,36,11417
