,,,,
County,%_Adult_Obese,Food_Environment_Index,%_Fair/Poor_health,%_Physically_Inactive
,29,6.4,18,23
Anderson,36,5.7,21,29
Andrews,30,7.2,28,27
Angelina,30,5.6,26,29
Aransas,28,5.9,,28
Archer,30,7.4,,27
Armstrong,28,4.8,,27
Atascosa,29,7.6,29,26
Austin,28,7.5,31,27
Bailey,29,7.7,,27
Bandera,29,7.2,,29
Bastrop,31,6.0,14,29
Baylor,28,7.2,11,25
Bee,30,6.2,18,23
Bell,30,5.4,19,23
Bexar,30,6.5,17,21
Blanco,30,7.9,,24
Borden,29,4.9,,26
Bosque,29,6.8,,28
Bowie,34,5.6,20,30
Brazoria,30,7.1,10,24
Brazos,28,4.4,13,21
Brewster,27,6.9,16,24
Briscoe,29,3.0,,27
Brooks,29,6.3,,28
Brown,31,5.8,22,29
Burleson,30,7.1,,31
Burnet,29,6.4,8,28
Caldwell,31,6.7,,25
Calhoun,30,6.7,21,25
Callahan,29,7.2,,28
Cameron,28,5.5,30,22
Camp,33,6.1,,28
Carson,29,7.3,,30
Cass,29,6.0,36,29
Castro,30,7.4,,26
Chambers,31,7.6,,28
Cherokee,32,5.9,28,31
Childress,30,5.7,,28
Clay,30,7.2,20,33
Cochran,30,7.0,,29
Coke,31,3.8,,31
Coleman,29,5.9,,29
Collin,26,7.6,10,19
Collingsworth,31,7.4,,28
Colorado,30,6.9,,29
Comal,29,7.5,12,25
Comanche,29,6.8,22,29
Concho,31,7.0,,27
Cooke,31,7.4,,26
Coryell,31,5.5,19,25
Cottle,30,6.9,,29
Crane,29,8.1,,25
Crockett,30,7.8,,27
Crosby,29,7.2,,29
Culberson,29,7.8,,26
Dallam,31,6.4,,26
Dallas,29,5.9,17,24
Dawson,31,6.7,,26
Deaf Smith,32,7.1,,27
Delta,29,6.9,,32
Denton,27,7.2,13,21
DeWitt,29,7.1,,29
Dickens,29,6.5,,29
Dimmit,31,6.7,,26
Donley,30,6.9,,27
Duval,30,6.5,,27
Eastland,32,6.1,,31
Ector,32,7.3,21,30
Edwards,29,7.3,23,29
Ellis,28,7.1,16,22
El Paso,25,6.3,26,23
Erath,30,5.5,14,24
Falls,32,4.7,,29
Fannin,32,5.6,35,28
Fayette,29,6.8,,32
Fisher,30,7.3,,30
Floyd,29,7.4,,29
Foard,29,1.8,,28
Fort Bend,25,7.1,13,22
Franklin,29,7.5,,27
Freestone,31,6.6,20,26
Frio,30,7.4,,25
Gaines,32,7.7,18,23
Galveston,29,6.4,13,27
Garza,31,7.7,,26
Gillespie,31,7.8,,29
Glasscock,29,5.8,,26
Goliad,30,7.2,,29
Gonzales,33,6.2,,29
Gray,28,7.0,15,31
Grayson,28,6.1,13,27
Gregg,34,6.0,19,28
Grimes,35,5.7,,28
Guadalupe,32,7.3,18,21
Hale,29,6.1,20,30
Hall,30,5.2,,28
Hamilton,32,7.0,,31
Hansford,29,7.0,,26
Hardeman,30,5.8,,28
Hardin,34,6.6,16,34
Harris,28,6.3,17,21
Harrison,32,6.2,18,30
Hartley,30,7.4,,26
Haskell,30,6.6,,28
